project,commit,typeRFT,description,pre_commit_line_number,pre_commit_code_element,pre_commit_description,post_commit_line_number,post_commit_code_element,post_commit_description,MANUAL - observation,MANUAL - Abstracted Observation,MANUAL - High Level Category,MANUAL - additional details
camel,7b141c30c885eae6e24977ab2ec67119ca20a974,Modify Method Annotation,Modify Method Annotation @Test(expected = IllegalArgumentException.class) to @Test in method public createEndpointWithMinimalECSClientMisconfiguration() : void from class org.apache.camel.component.aws2.iam.IAMComponentClientRegistryTest,35,@Test(expected = IllegalArgumentException.class),original annotation,38,@Test,modified annotation,Class not found exception in production code,,IGNORED,BUG
druid,3a5c4804055f10aadcae34277cb1345c7d51874d,Remove Class Annotation,Remove Class Annotation @RunWith(Parameterized.class) in class io.druid.extendedset.intset.ImmutableConciseSetTest,37,@RunWith(Parameterized.class),deleted annotation,32,io.druid.extendedset.intset.ImmutableConciseSetTest,class declaration with removed annotation,Junit / Remove Ignore,[Bug -> @Ignored],IGNORED,BUG
flink,42b01140e09dd1dd106eac302b3aaa8ef756754b,Remove Class Annotation,Remove Class Annotation @RunWith(PowerMockRunner.class) in class org.apache.flink.runtime.operators.chaining.ChainTaskTest,52,@RunWith(PowerMockRunner.class),deleted annotation,47,org.apache.flink.runtime.operators.chaining.ChainTaskTest,class declaration with removed annotation,Removed @Ignored after fixing a bug,[Bug -> @Ignored],IGNORED,BUG
flink,d35f6990eb402a2137826b62bca11437728da9c1,Remove Method Annotation,Remove Method Annotation @Category(FailsOnJava11.class) in method public testDetachedMode() : void from class org.apache.flink.yarn.YARNSessionFIFOSecuredITCase,111,@Category(FailsOnJava11.class),deleted annotation,107,public testDetachedMode() : void,method declaration with removed annotation,ignore due to a bug,[Bug -> @Ignored],IGNORED,BUG
hadoop,2c2c58970038af5a13a84592d2c4bca9679cd8ac,Add Method Annotation,Add Method Annotation @BeforeClass in method public setup() : void from class org.apache.hadoop.mapreduce.v2.TestMRJobsWithProfiler,72,public setup() : void,original method declaration,74,@BeforeClass,added annotation,test logic is modified to pass the test? ad-hoc?,[ Bug -> @Ignored ] [fixing test],IGNORED,BUG
hadoop,4334976187100afe3be499d63ead8f17f09f8a14,Add Method Annotation,Add Method Annotation @Before in method public startUp() : void from class org.apache.hadoop.hdfs.TestLeaseRecovery2,84,public startUp() : void,original method declaration,93,@Before,added annotation,ignore while fixing performance issues,[ Bug -> @Ignored ],IGNORED,BUG
hadoop,490206e4b4fbd4869940c9689e414bdc977aa405,Remove Method Annotation,"Remove Method Annotation @Ignore(""TODO:HDDS-1155"") in method public testOnMessage() : void from class org.apache.hadoop.hdds.scm.node.TestDeadNodeHandler",108,"@Ignore(""TODO:HDDS-1155"")",deleted annotation,100,public testOnMessage() : void,method declaration with removed annotation,remove ignored after bug fixing.,[ Bug -> @Ignored ],IGNORED,BUG
hadoop,c00e704496ea9ff3262ac832f82f3671e2153cda,Remove Method Annotation,"Remove Method Annotation @Ignore(""Can't run without secure cluster."") in method public testS3Secret() : void from class org.apache.hadoop.ozone.ozShell.TestOzoneShell",1217,"@Ignore(""Can't run without secure cluster."")",deleted annotation,1217,public testS3Secret() : void,method declaration with removed annotation,remove ignored after bug fixing.,[ Bug -> @Ignored ],IGNORED,BUG
hbase,30a7e4a35cb92ceadacef2b795498a60953d5075,Remove Class Annotation,Remove Class Annotation @Ignore in class org.apache.hadoop.hbase.master.TestDLSAsyncFSWAL,27,@Ignore,deleted annotation,26,org.apache.hadoop.hbase.master.TestDLSAsyncFSWAL,class declaration with removed annotation,renabled failing test for debugging.,[Bug -> @ignored],IGNORED,BUG
hbase,1b0b8d95364fe9b2fb03b0a74b4c6bfba8af02d2,Remove Method Annotation,Remove Method Annotation @Ignore in method public testNonExistentRegionReplica() : void from class org.apache.hadoop.hbase.regionserver.TestRegionOpen,101,@Ignore,deleted annotation,100,public testNonExistentRegionReplica() : void,method declaration with removed annotation,test enabled after fixing bug -> test failure,[Bug -> @Ignored],IGNORED,BUG
hbase,ce6f111a3aa811a6383d84606fe534008f204433,Remove Method Annotation,"Remove Method Annotation @Ignore(""Test presumes RETRY_BACKOFF will never change; it has"") in method public testErrorBackoffTimeCalculation() : void from class org.apache.hadoop.hbase.client.TestHCM",1132,"@Ignore(""Test presumes RETRY_BACKOFF will never change; it has"")",deleted annotation,1234,public testErrorBackoffTimeCalculation() : void,method declaration with removed annotation,@Ignored while fixing bug,[Bug -> @Ignored],IGNORED,BUG
hive,987d5fff268431e5f9554df7129f7bedd9ad9d5a,Add Method Annotation,"Add Method Annotation @Ignore(""Broken tests -- HIVE-18806"") in method public testNoErrorDB() : void from class org.apache.hive.beeline.cli.TestHiveCli",255,public testNoErrorDB() : void,original method declaration,256,"@Ignore(""Broken tests -- HIVE-18806"")",added annotation,Ignored due to bug fix.,[Bug -> @Ignored],IGNORED,BUG
hive,4dbf991b48f5e7b34428c7c23fe34a77e0a9987a,Add Class Annotation,"Add Class Annotation @Ignore(""Disabled in HIVE-20074 temporary as it is unstable, Will re-enable in HIVE-20075."") in class org.apache.hive.jdbc.TestTriggersWorkloadManager",43,org.apache.hive.jdbc.TestTriggersWorkloadManager,original class declaration,44,"@Ignore(""Disabled in HIVE-20074 temporary as it is unstable, Will re-enable in HIVE-20075."")",added annotation,@Ignored is a anti-pattern. This example is a clear example. The dev initially ignore unstable test and opens an new issue. Seems like bug is resolved (issue closed) but test is still ignored.,[Bug -> @Ignored][Forgotten],IGNORED,BUG
hive,7f4a3e17ec2fa886276a7f278e5846e0e7ebc8a6,Remove Method Annotation,Remove Method Annotation @Ignore in method public testIncrementalInserts() : void from class org.apache.hadoop.hive.ql.TestReplicationScenarios,793,@Ignore,deleted annotation,878,public testIncrementalInserts() : void,method declaration with removed annotation,Ignored due to feature addition breaking test. Fixed afterwards,[Breaking Change -> @Ignored],IGNORED,BUG
orientdb,07e235946b1f9f611bc4ca407c422e159c3b6927,Add Method Annotation,Add Method Annotation @Ignore in method public test() : void from class com.orientechnologies.orient.server.distributed.scenariotest.IsolatedNodeRejoinScenarioIT,50,public test() : void,original method declaration,51,@Ignore,added annotation,"Commit message shows re-enabled but still closed. moreover, if you check, https://github.com/orientechnologies/orientdb/commit/d276468809 you see that ""AbstractServerClusterInsertTest was commented out rather than ignored, moreover it's issue is said to be closed.",[Bug -> @Ignored] [Forgotten],IGNORED,BUG
orientdb,2949af2283c5e43403c99221ab2ab971925e47c6,Add Method Annotation,Add Method Annotation @Before in method public beforeMethod() : void from class com.orientechnologies.orient.graph.blueprints.GraphValidationTest,36,public beforeClass() : void,original method declaration,41,@Before,added annotation,"Ignored due to wrongly test failure since 2018, but not fixed.",[Bug -> @Ignored],IGNORED,BUG
orientdb,d9e6918242fe23b566494a4f83355292ddef2ad3,Add Method Annotation,Add Method Annotation @Ignore in method public testRandom() : void from class com.orientechnologies.orient.core.storage.index.sbtree.local.PrefixBTreeTestIT,61,public testRandom() : void,original method declaration,63,@Ignore,added annotation,forgotten ignored,[ad-hoc @Ignored],IGNORED,BUG
orientdb,218094de830ced17568926888f00317d842814d6,Modify Class Annotation,Modify Class Annotation @Test(enabled = false) to @Test in class com.orientechnologies.orient.core.storage.impl.local.paginated.StorageBackupTest,25,@Test(enabled = false),original annotation,25,@Test,modified annotation,"Shown as fixed test and issue is closed, but still shows as ignored.",[Bug -> @Ignored] [Forgotten],IGNORED,BUG
orientdb,2aa0c655a18482a7a298c0552275b02980925f7c,Modify Method Annotation,Modify Method Annotation @Test to @Test(enabled = false) in method public testRectangle() : void from class com.orientechnologies.lucene.test.geo.LuceneSpatialFunctionAsTextTest,99,@Test,original annotation,99,@Test(enabled = false),modified annotation,Ignored due to bug,[Bug -> @Ignored],IGNORED,BUG
orientdb,1b371c7cecbc7ec14b81a3f8a08c2ab71d12577f,Remove Method Annotation,Remove Method Annotation @AfterClass in method public afterClass() : void from class com.orientechnologies.orient.core.sql.executor.OUpdateStatementExecutionTest,33,@AfterClass,deleted annotation,67,public after() : void,method declaration with removed annotation,Ignore due to test failure,[Bug -> @Ignored],IGNORED,BUG
kafka,8fd5b6a6669b5e2ba921904596a14936b1317304,Add Method Annotation,Add Method Annotation @Ignore in method public testReprocessingFromScratchAfterResetWithIntermediateUserTopic() : void from class org.apache.kafka.streams.integration.ResetIntegrationTest,140,public testReprocessingFromScratchAfterResetWithIntermediateUserTopic() : void,original method declaration,140,@Ignore,added annotation,Ignored due to test failure,[Bug -> @Ignored],IGNORED,BUG
ambari,7153112e7951af1b91c2254202148fd6afd83726,Remove Method Annotation,Remove Method Annotation @BeforeClass in method public setupCache() : void from class org.apache.ambari.server.controller.metrics.timeline.AMSPropertyProviderTest,96,@BeforeClass,deleted annotation,99,public setupCache() : void,method declaration with removed annotation,ignore deprecated test which can increase testing time.,[Deprecated -> @Ignored],IGNORED,FEATURE ADDITION-DEPRECATED
ambari,cca83b5c87f2800e15e978ba8b3e6db1f45b1621,Add Method Annotation,Add Method Annotation @Ignore in method public testAction() : void from class org.apache.ambari.server.serveraction.upgrades.OozieConfigCalculationTest,140,public testAction() : void,original method declaration,145,@Ignore,added annotation,@Ignored due to missing src implementation,[missing src code -> @Ignored],IGNORED,BUG-MISSING SRC
ambari,672fb60859e4d6e0d97809c30871ca9e27e9193c,Add Method Annotation,Add Method Annotation @Ignore in method public testServerCertGen() : void from class org.apache.ambari.server.security.CertGenerationTest,146,public testServerCertGen() : void,original method declaration,146,@Ignore,added annotation,"@Ignore because randomly fails, but they refactor the same piece of code later on without re-enable. Why?",[flakiness -> @Ignored] [Forgotten],IGNORED,FLAKY
ambari,27d0867ebf56b891a02185885fabdc9a47954713,Add Method Annotation,Add Method Annotation @Ignore in method public testOpFailedEventRaisedForAbortedHostRole() : void from class org.apache.ambari.server.actionmanager.TestActionScheduler,326,public testOpFailedEventRaisedForAbortedHostRole() : void,original method declaration,327,@Ignore,added annotation,@Ignored is fixed by fixing waiting condition from sleep.,[flakiness -> @Ignored],IGNORED,FLAKY
hbase,47c3faee5d83260da20a109b43ff054dd6060819,Add Class Annotation,"Add Class Annotation @Ignore(""Flaky, needs to be rewritten, see HBASE-19125"") in class org.apache.hadoop.hbase.replication.regionserver.TestReplicator",54,org.apache.hadoop.hbase.replication.regionserver.TestReplicator,original class declaration,56,"@Ignore(""Flaky, needs to be rewritten, see HBASE-19125"")",added annotation,@Ignored due to flaky test,[flaky -> @Ignored][fixed],IGNORED,FLAKY
hbase,14368c432a6f0fe41f9e627ed53d3317d0853212,Add Class Annotation,"Add Class Annotation @Ignore(""Flaky, needs to be rewritten, see HBASE-19125"") in class org.apache.hadoop.hbase.replication.regionserver.TestReplicator",54,org.apache.hadoop.hbase.replication.regionserver.TestReplicator,original class declaration,56,"@Ignore(""Flaky, needs to be rewritten, see HBASE-19125"")",added annotation,@Ignored due to flaky test,[flaky -> @Ignored][fixed],IGNORED,FLAKY
hbase,d8775d08aebfff464eb2e0b493f8fffacc1494ca,Add Class Annotation,Add Class Annotation @Ignore in class org.apache.hadoop.hbase.master.TestAssignmentManagerMetrics,46,org.apache.hadoop.hbase.master.TestAssignmentManagerMetrics,original class declaration,47,@Ignore,added annotation,temporarily disabled flaky test,[flaky -> @Ignored][fixed],IGNORED,FLAKY
hbase,774bb5677e1b5b707130a7d2a16ab05b26c0d1ad,Add Method Annotation,Add Method Annotation @Ignore in method public testRecovery() : void from class org.apache.hadoop.hbase.coprocessor.TestRegionObserverInterface,591,public testRecovery() : void,original method declaration,592,@Ignore,added annotation,"""For what it's worth I haven't seen this flake recently"" thus removed...",[flaky -> @Ignored][fixed],IGNORED,FLAKY
hbase,4663d7b9a741f3e374510880d2c47a549591da46,Add Method Annotation,Add Method Annotation @Ignore in method public testRecoveryAndDoubleExecutionOnRsWithMeta() : void from class org.apache.hadoop.hbase.master.procedure.TestServerCrashProcedure,88,public testRecoveryAndDoubleExecutionOnRsWithMeta() : void,original method declaration,89,@Ignore,added annotation,Ignored due to flaky test -> fixed and re-enabled after,[flaky -> @Ignored][fixed],IGNORED,FLAKY
hbase,148356a7bfeacce17aa85029348e5548579e78d6,Add Method Annotation,Add Method Annotation @Ignore in method public testCancelOfMultiGet() : void from class org.apache.hadoop.hbase.client.TestReplicasClient,619,public testCancelOfMultiGet() : void,original method declaration,620,@Ignore,added annotation,Ignored due to flaky test (2018); still ignored.,[flaky -> @Ignored][forgotten],IGNORED,FLAKY
hbase,8db7a6eb079018e3f94cc366ef85211d7a90f749,Add Method Annotation,"Add Method Annotation @Ignore(""Test for unfinished feature"") in method public testRegionPlacement() : void from class org.apache.hadoop.hbase.master.TestRegionPlacement",105,public testRegionPlacement() : void,original method declaration,106,"@Ignore(""Test for unfinished feature"")",added annotation,Ignored as flaky caused by unfinished feature (2015). Still ignored today.,[unfinished feature -> @Ignored],IGNORED,FLAKY
hbase,1147c2362733caa7b5f9a64ad96adf6d96b4589e,Add Method Annotation,Add Method Annotation @org.junit.Ignore in method public testUserNamespaceClusterScopeQuota() : void from class org.apache.hadoop.hbase.quotas.TestClusterScopeQuotaThrottle,184,public testUserNamespaceClusterScopeQuota() : void,original method declaration,184,@org.junit.Ignore,added annotation,"Ignored due to flaky, but enabled after fix",[flaky -> @Ignored][fixed],IGNORED,FLAKY
hbase,671772b229e63122729483fb89408bb91cac6471,Add Method Annotation,Add Method Annotation @org.junit.Ignore in method public testVisibilityLabels() : void from class org.apache.hadoop.hbase.coprocessor.TestSecureExport,333,public testVisibilityLabels() : void,original method declaration,334,@org.junit.Ignore,added annotation,Ignored due to flaky test; still figuring out the root cause (potential: sync issue when test ran in parallel),[flaky -> @Ignored][Open],IGNORED,FLAKY
hbase,0af208679adc1f03629c536a430fc417fb29f720,Add Method Annotation,Add Method Annotation @org.junit.Ignore in method public testNegativeAuthentication() : void from class org.apache.hadoop.hbase.security.provider.TestCustomSaslAuthenticationProvider,563,public testNegativeAuthentication() : void,original method declaration,563,@org.junit.Ignore,added annotation,Ignored due to flaky test; still open,[flaky -> @Ignored][Open],IGNORED,FLAKY
hbase,aa0bd50fd40d8090c5a98cbde063621eadd988f8,Add Method Annotation,Add Method Annotation @Ignore in method public testClusterStatus() : void from class org.apache.hadoop.hbase.client.TestHCM,224,public testClusterStatus() : void,original method declaration,225,@Ignore,added annotation,Ignored since 2014; stilll working to figure out the issue.,[flaky -> @Ignored][Open],IGNORED,FLAKY
hbase,038d7e89845c22e9fa3e9d3b770672686def2ea5,Remove Method Annotation,Remove Method Annotation @Ignore in method public testRecoveryAndDoubleExecutionOnRsWithMeta() : void from class org.apache.hadoop.hbase.master.procedure.TestServerCrashProcedure,90,@Ignore,deleted annotation,88,public testRecoveryAndDoubleExecutionOnRsWithMeta() : void,method declaration with removed annotation,"Remove @Ignored because ""seems not flaky anymore - fixed by other jira"" However, other jira do not discusss such flaky test.",[Flaky -> @Ignored][ad-hoc],IGNORED,FLAKY
hive,4dbf991b48f5e7b34428c7c23fe34a77e0a9987a,Add Class Annotation,"Add Class Annotation @Ignore(""Disabled in HIVE-20074 temporary as it is unstable, Will re-enable in HIVE-20075."") in class org.apache.hive.jdbc.TestTriggersWorkloadManager",43,org.apache.hive.jdbc.TestTriggersWorkloadManager,original class declaration,44,"@Ignore(""Disabled in HIVE-20074 temporary as it is unstable, Will re-enable in HIVE-20075."")",added annotation,Ignore due to flakiness. The issue is created for disable and duplicate issue created for enable but unresolved.,[Flaky -> @Ignored][Forgotten],IGNORED,FLAKY
hive,110d398fc66fa26bea51856b0b542303486a2ca4,Add Method Annotation,"Add Method Annotation @Ignore(""HIVE-23221 Ignore flaky test testHouseKeepingThreadExistence in TestMetastoreHousekeepingLeaderEmptyConfig"" + "" and TestMetastoreHousekeepingLeader"") in method public testHouseKeepingThreadExistence() : void from class org.apache.hadoop.hive.metastore.TestMetastoreHousekeepingLeader",40,public testHouseKeepingThreadExistence() : void,original method declaration,41,"@Ignore(""HIVE-23221 Ignore flaky test testHouseKeepingThreadExistence in TestMetastoreHousekeepingLeaderEmptyConfig"" + "" and TestMetastoreHousekeepingLeader"")",added annotation,Flaky -> @Ignored,[Flaky -> @Ignored][Fixed],IGNORED,FLAKY
hive,6875c7655fc4925332ec0e71db1a3b37430a40a7,Add Method Annotation,Add Method Annotation @After in method public afterTest() : void from class org.apache.hadoop.hive.ql.TestAutoPurgeTables,166,public afterTest() : void,original method declaration,174,@After,added annotation,"@Before / @After + retry does not fix flakiness, thus @Ignored since 2018",[Flaky -> @Ignored][Open],IGNORED,FLAKY
hive,34bf9fd413a8349e84ed288e068d1ece306c671e,Remove Class Annotation,"Remove Class Annotation @Ignore(""Flaky. Will be re-enabled by HIVE-19697"") in class org.apache.hadoop.hive.ql.plan.mapping.TestReOptimization",50,"@Ignore(""Flaky. Will be re-enabled by HIVE-19697"")",deleted annotation,49,org.apache.hadoop.hive.ql.plan.mapping.TestReOptimization,class declaration with removed annotation,re-enabled after fixing flaky test,[Flaky -> @Ignored],IGNORED,FLAKY
ambari,447b5e3349fa0615d242b8c4a2103163717e8678,Add Method Annotation,"Add Method Annotation @Ignore(""Fix later: NoSuchField: WHITESPACE error exception"") in method public test() : void from class org.apache.ambari.checkstyle.UndocumentedRestApiOperationCheckTest",38,public test() : void,original method declaration,40,"@Ignore(""Fix later: NoSuchField: WHITESPACE error exception"")",added annotation,@Ignore while implementation update,[Feature Improvement -> @Ignored],IGNORED,FEATURE IMPROVEMENT
camel,5afce0b3593a5e9d7513fe1a9a7d267e405565b0,Remove Class Annotation,"Remove Class Annotation @Ignore(""Does not work with Spring Boot 1.x"") in class org.apache.camel.itest.springboot.CamelReactorTest",29,"@Ignore(""Does not work with Spring Boot 1.x"")",deleted annotation,27,org.apache.camel.itest.springboot.CamelReactorTest,class declaration with removed annotation,Ignored until improvement found,[Feature Improvement -> @Ignored],IGNORED,FEATURE IMPROVEMENT
camel,510f6702cede46cc9b59a94617e2866bcd8988ad,Add Class Annotation,"Add Class Annotation @Ignore(""Fails sometimes on CI server with address already in use"") in class org.apache.camel.component.mllp.MllpProducerConsumerLoopbackTest",38,org.apache.camel.component.mllp.MllpProducerConsumerLoopbackTest,original class declaration,38,"@Ignore(""Fails sometimes on CI server with address already in use"")",added annotation,Ignored during improvement,[Feature Improvement -> @Ignored],IGNORED,FEATURE IMPROVEMENT
druid,a029b33499801c3b0698200397ec4408c28ee3ea,Add Class Annotation,Add Class Annotation @RunWith(Parameterized.class) in class io.druid.client.CachingQueryRunnerTest,69,io.druid.client.CachingQueryRunnerTest,original class declaration,78,@RunWith(Parameterized.class),added annotation,ignore while improvement,[Feature Improvement -> @Ignored],IGNORED,FEATURE IMPROVEMENT
hadoop,973987089090b428ae34a86926c8ef8ebca45aa5,Add Class Annotation,Add Class Annotation @RunWith(value = Parameterized.class) in class org.apache,84,org.apache.hadoop.yarn.client.api.impl.TestAMRMClient,original class declaration,93,@RunWith(value = Parameterized.class),added annotation,Ignore while trying to improve some feature,[Feature Improvement -> @Ignored],IGNORED,FEATURE IMPROVEMENT
ambari,4512f5525d129bdd4f73b68dfa139631d0368c35,Add Method Annotation,Add Method Annotation @BeforeClass in method public setup() : void from class org.apache.ambari.server.scheduler.ExecutionScheduleManagerTest,105,public setup() : void,original method declaration,103,@BeforeClass,added annotation,@Ignored due to other non-related error while API update.,[External Dependency -> @Ignored],IGNORED,EXTERNAL DEPENDENCY-WAIT FOR EXTERNAL DEPENDENCY UPDATE
camel,183abd872fe0647d64e6f4735ebc38523bb85065,Add Class Annotation,"Add Class Annotation @Ignore(""Manual test"") in class org.apache.camel.component.file.FileBatchConsumerMemoryLeakTest",24,org.apache.camel.component.file.FileBatchConsumerMemoryLeakTest,original class declaration,30,"@Ignore(""Manual test"")",added annotation,@ignored while waiting for external dependency upgrade.,[External Dependency -> @Ignored],IGNORED,EXTERNAL DEPENDENCY-WAIT FOR EXTERNAL DEPENDENCY UPDATE
camel,485748070ad7ce44d662704bb16f196788586548,Add Method Annotation,Add Method Annotation @BeforeClass in method public prepareDB() : void from class org.apache.camel.component.quartz2.SpringQuartzPersistentStoreRestartAppChangeOptionsTest,41,public prepareDB() : void,original method declaration,42,@BeforeClass,added annotation,Ignored due to upgrade external API (must update dependency),[External Dependency -> @Ignored],IGNORED,EXTERNAL DEPENDENCY-WAIT FOR EXTERNAL DEPENDENCY UPDATE
camel,fe438ef79b601424b7bec444629662db79b94754,Modify Class Annotation,Modify Class Annotation @RunWith(JUnit4TestRunner.class) to @RunWith(PaxExam.class) in class org.apache.camel.itest.karaf.CamelRmiTest,25,@RunWith(JUnit4TestRunner.class),original annotation,25,@RunWith(PaxExam.class),modified annotation,"Ignored due to incompatability with latest update of external dependency. Developers forgets to re-enable after the fix, and opens another issue indicating missing coverege. This indicates ad-hoc ignore resulting in forgotten tests.",[External Dependency -> @Ignored] [Forgotten],IGNORED,EXTERNAL DEPENDENCY-WAIT FOR EXTERNAL DEPENDENCY UPDATE
camel,74fab442e942532cefda1d53d70ec61516ccf881,Remove Class Annotation,"Remove Class Annotation @Ignore(""Requires online access to the internet"") in class org.apache.camel.itest.http.HttpMaxConnectionPerHostTest",30,"@Ignore(""Requires online access to the internet"")",deleted annotation,39,org.apache.camel.itest.http.HttpMaxConnectionPerHostTest,class declaration with removed annotation,Ignored due to requiring update of external dependency.,[External Dependency -> @Ignored],IGNORED,EXTERNAL DEPENDENCY-WAIT FOR EXTERNAL DEPENDENCY UPDATE
camel,edb2d90e88fd1cff5473629bb3cf06ec771c1ee0,Remove Method Annotation,"Remove Method Annotation @Ignore(""HTTP_QUERY not supported"") in method public testHttpGetWithParamsViaHeader() : void from class org.apache.camel.component.netty4.http.NettyHttpGetWithParamTest",44,"@Ignore(""HTTP_QUERY not supported"")",deleted annotation,43,public testHttpGetWithParamsViaHeader() : void,method declaration with removed annotation,Initially ignored due to java 7,[External Dependency -> @Ignored],IGNORED,EXTERNAL DEPENDENCY-WAIT FOR EXTERNAL DEPENDENCY UPDATE
camel,84842ded9693171eae85e5ddbf508a6e2c5e0280,Remove Method Annotation,"Remove Method Annotation @Ignore(""TODO: fix me later"") in method public testEndpointPropertiesNetty4http() : void from class org.apache.camel.catalog.CamelCatalogTest",265,"@Ignore(""TODO: fix me later"")",deleted annotation,264,public testEndpointPropertiesNetty4Http() : void,method declaration with removed annotation,@ignored as test is externally dependent on spring boot 1,[External Dependency -> @Ignored],IGNORED,EXTERNAL DEPENDENCY-WAIT FOR EXTERNAL DEPENDENCY UPDATE
druid,e6e2836b0e25f2b27816c514c5064e6516e60d7b,Modify Class Annotation,"Modify Class Annotation @Test(groups = TestNGGroup.OTHER_INDEX) to @Test(groups = {TestNGGroup.OTHER_INDEX,TestNGGroup.QUICKSTART_COMPATIBLE}) in class org.apache.druid.tests.indexer.ITCompactionTaskTest",42,@Test(groups = TestNGGroup.OTHER_INDEX),original annotation,42,"@Test(groups = {TestNGGroup.OTHER_INDEX,TestNGGroup.QUICKSTART_COMPATIBLE})",modified annotation,Ignored due to external dependency [ jetty ],[External Dependency -> @Ignored],IGNORED,EXTERNAL DEPENDENCY-WAIT FOR EXTERNAL DEPENDENCY UPDATE
